Month,tmax,tmin,af,rain,sun
1,8,1.9,8,52.5,55.9
2,6,0.3,14,33.5,57
3,10,2.5,8,51.4,98.2
4,11,1.4,11,16.9,120.9
5,15,6,0,59.1,152.8
6,18,8.5,0,59.9,126.9
7,19,9.6,0,45.3,159.1
8,18,9.4,0,126.5,163
9,20,10.3,0,46.3,143.6
10,13,6,2,37.5,123.4
11,8,1.1,9,85.6,56.4
12,3,-1.4,19,44.1,10.8
1,5,-1.7,19,25.7,49.7
2,9,0,14,2.1,91.6
3,7,-0.1,13,69,111.5
4,9,1.2,7,41.9,107.5
5,13,3.6,4,36.9,161.5
6,18,8.9,0,4.1,175.1
7,20,10.6,0,106.6,151.1
8,18,10,0,126.7,100.6
9,18,9.1,0,47.4,128.4
10,12,4.9,3,48.9,76.8
11,8,2.2,8,56.9,42.2
12,6,-0.5,12,57.5,56.2
1,4,-1.4,19,48.6,47.6
2,6,-0.6,12,49.2,64.6
3,7,-1.9,25,28.9,139.1
4,11,1,12,33.3,172.8
5,15,5.4,2,59.5,156.8
6,17,7.4,0,80.2,176
7,17,9.2,0,42.9,123
8,18,9.9,0,99.7,121.7
9,15,7.5,0,74.2,116.6
10,10,2.9,6,141.7,71.8
11,8,2.6,5,31.5,37.6
12,4,-1.9,22,24.4,57.6
1,5,-0.4,10,33.5,37.1
2,6,0.5,11,54,72.6
3,12,1.7,11,11.1,166.3
4,14,2.5,2,9.4,172.7
5,17,6.3,0,59,160.4
6,20,9.5,0,20.7,194.2
7,20,10.2,0,114.1,135.9
8,22,11.6,0,54.1,194.8
9,17,7.4,0,45.1,139.5
10,14,4.9,3,18.1,150.6
11,8,1.7,9,60.1,51.9
12,8,1.5,7,32.9,51.9
1,5,-0.6,13,27.3,46.4
2,8,0.1,11,52.1,76.2
3,12,0.7,11,22.9,191.4
4,13,3.3,3,28,125.8
5,12,3.4,5,72.3,172.7
6,17,7.7,0,94.1,146.3
7,21,10.9,0,40.4,177.3
8,18,9.3,0,64,108.4
9,14,6.9,0,22.1,90.7
10,11,4.3,3,128.9,53.1
11,10,4.5,0,19.8,56.9
12,7,0.8,15,32.7,48.1
1,2,-3.7,26,94.6,43.4
2,2,-4.8,23,34,81.9
3,8,0.8,11,48.9,91.1
4,12,3.1,7,33.8,144.3
5,16,5.5,0,21,197.5
6,20,7.4,0,32.5,222.9
7,19,9.8,0,126.1,143.7
8,20,10.9,0,59,140.6
9,20,9.4,0,15.1,203.9
10,10,2.4,10,125.4,112.2
11,10,3.2,5,62.7,45.6
12,5,0.2,14,47.1,29.8
1,7,1.5,11,17.9,62.8
2,8,1.1,11,12.8,40.4
3,10,1.6,9,46.7,111.1
4,14,3.8,1,20.6,153.8
5,16,5.2,1,13.6,190.6
1,8.6,3.9,2,80.6,55.6
2,8.5,3.2,2,85.1,105.2
3,12.2,7.4,0,83.1,98.3
4,11.3,6.2,0,7.4,181.1
5,13.6,7.4,0,54.1,268.7
6,18.2,10.6,0,48.5,327
7,17.7,12.7,0,123.2,142.8
8,17.7,12.5,0,52.3,153.4
6,21,9.8,0,50.8,198.3
7,21,10.1,0,64.1,179.2
8,18,9.7,0,53.3,97.1
9,16,8.5,0,56.7,90.7
10,9,2.7,6,148.8,79.9
11,8,1.5,11,34.1,52.1
12,6,0.7,14,103.9,35
1,3,-1.2,19,47.2,40.7
2,8,1.7,11,24,59.8
3,9,1.9,9,61.6,95.9
4,10,1.7,8,42.2,152
5,13,3.8,2,37.1,197.9
6,18,9,0,74.7,144.7
7,21,10.2,0,31.3,233.3
8,21,10.8,0,60.7,206
9,16,6.6,0,54.4,112.7
10,13,5.6,2,36.1,104.3
11,10,4.2,4,44.5,29.3
12,7,0.9,11,40.4,31.9
1,9,3,6,25.4,40.9
2,8,0.3,13,19.1,100.8
3,8,0.1,17,49.7,118.1
4,12,3.3,2,51.8,128.5
5,13,4.1,1,41.4,148.1
6,18,7.9,0,38.8,137.2
7,20,8.9,0,16.4,208.9
8,20,10.4,0,45.5,157.1
9,15.3,11.1,0,187.7,108.3
10,13.8,9.3,0,101.2,77.4
11,9.2,5.1,1,59,63
12,8.4,3.3,3,76.5,66.7
1,7.7,3.2,7,100.2,50.9
2,8.4,3.7,2,100.7,57.3
3,7.6,1.7,8,21.1,128.8
4,10.6,4.6,4,17.8,169
5,13.4,7.8,0,95.3,190.8
6,16,10,0,86.9,203.3
7,17.1,11.7,0,113.7,161.5
8,17.2,12.7,0,108,122.2
9,17.6,12.1,0,184.5,141.5
10,13.1,9,0,94.5,80.5
11,10.4,5.8,0,73.6,52.9
12,8.3,3.8,1,82.8,47.1
1,6.4,2.1,5,118,72.1
2,8.8,2.9,6,10.8,94.5
3,10.1,5.2,0,94.1,113.1
4,11.5,6.4,0,84,155.6
5,15.5,8.9,0,46.2,255.1
6,17.3,10.9,0,34.9,284.4
7,19.1,12.7,0,55.5,243.8
8,19.1,13,0,17.2,214.7
9,19.6,11.5,0,8.9,217.4
10,16.2,10.8,0,157.4,114.1
11,10.5,6.6,0,229.9,46.9
12,9.1,4.9,0,148.9,35.4
1,7.9,3.4,4,131,58.7
2,7.1,2.3,5,112.5,75.5
3,10,4.2,0,58.3,110.8
4,10.9,5.6,0,92.1,187.7
5,15.5,9.2,0,46.9,199.2
6,18,11.6,0,43.4,245.7
7,17,11.9,0,89.4,165
8,17,12,0,98.5,169.9
9,15.7,10.6,0,138.4,135.2
10,13,8.4,0,150.8,73.9
11,10.3,5.8,0,204.7,49.3
12,7.3,2.8,6,126.1,66.7
1,7.2,2.3,7,117.5,37.5
2,9.5,5.6,0,72.2,51.9
3,11,5.7,0,14.6,118.3
4,12.4,6.7,0,120.1,123.1
5,13.8,7.7,0,40,244.5
6,16.7,10.2,0,33.2,230.3
7,16.9,11.6,0,50.3,185.8
8,17.6,12.1,0,100.1,170.2
9,17.7,11.9,0,112.9,136.6
10,13.4,8.5,0,173.8,83.3
11,9.5,5.1,0,63.5,59.6
12,6.5,1.7,15,73.2,87.8
1,7.8,2.8,4,113.3,59.5
2,7.4,3.2,5,28.9,58.3
3,6.4,0.5,14,37.6,140.2
4,10.3,4.4,1,73.4,182.6
5,12.1,7.3,0,52.3,176
6,16,9.3,0,39,242.2
7,17,11.4,0,53.8,149
8,16.2,11.5,0,96.5,153.7
9,15,10.4,0,130.8,102.1
10,13.9,8.2,0,44,126.5
11,8.9,4.6,0,72.3,43.9
12,6.4,1.8,9,69.2,64.3
1,1.3,-3.5,26,17.3,98.5
2,3.3,-1.9,22,27.1,100.5
3,8.9,3.9,2,109.9,106.4
4,10.9,5.4,0,87.6,134.2
5,12.6,7.1,0,52.8,183.5
6,16.9,10.7,0,85.3,195.6
7,17.3,11.4,0,36.3,153.1
8,16.3,11.5,0,62.9,124.5
9,15.8,10.3,0,50.3,133.7
10,13.8,9,0,54.7,70.8
11,11.1,6.9,0,187.9,60.1
12,6.2,1.2,12,24.1,80.4
1,6.9,2.5,6,20.2,40.1
2,7.3,2.9,6,20.2,76.5
3,7.9,2.8,4,55.1,108.5
4,11,5.6,0,53.2,131.4
5,15.3,9.2,0,55.3,188.2
6,15.6,10.3,0,48.8,142.2
7,17.2,12.2,0,53.4,158.1
8,17.7,12,0,45.7,195.8
9,17.3,11.1,0,34.1,154.4
10,12.8,7.4,0,90.4,117.6
11,11,6.2,1,60.2,72.3
12,7.8,2.4,5,144.3,49.1
1,6.8,2.5,9,110.7,77
2,5.6,1.4,8,13,57.1
3,9.2,3.2,6,75,136.6
4,11,5.2,0,52.6,188.9
5,14.2,8.2,0,34.2,179.6
6,15.8,9.9,0,83.2,204.7
7,16.1,10.9,0,52.2,162.2
8,17.7,12,0,37.5,189.1
9,14.5,9.5,0,110.8,114.3
10,15.1,8.8,0,35.6,156.9
11,8.1,3.6,6,110.8,85.5
12,8.8,4.2,3,186.1,53.9
1,6,2.2,11,54.7,44.3
2,8.3,4.2,3,120.4,45.4
3,9.3,4.8,0,23.9,112.5
4,10.7,5.1,2,107.9,113.7
5,13.8,7.3,0,62.8,242
6,16.8,11.2,0,79.3,165.4
7,16.3,11.8,0,83.7,190.1
8,17,11.1,0,54.1,187.1
9,17,11.1,0,46.3,177
10,13.1,8,0,155.9,110.9
11,8.5,4.7,0,75.3,39.4
12,8.9,4.9,0,102.3,34
1,7.4,3.4,3,78.3,48.7
2,8.1,3.3,2,90.5,96.1
3,9.1,4.6,0,36.7,149.4
4,9.8,5.1,1,19.6,137.4
5,12,6.7,0,110.3,170.4
6,16.3,10.1,0,32.1,246
7,18.2,11.9,0,92.8,168.9
8,17.5,11.9,0,52.1,158.6
9,15.5,10.8,0,149.3,148.3
10,12.9,8.5,0,173.8,66.9
11,9.2,3.9,1,64.7,77.1
12,8.1,4.2,5,65.4,37.5
1,7.8,3.1,6,89.8,28.9
2,5.5,0.2,12,29.9,113.2
3,8.6,3.6,3,49.2,130.2
4,10.8,4.2,3,90.4,189.6
5,12,6.4,0,47.5,173.8
6,16.4,10.3,0,69.9,223.5
7,16.8,11.3,0,56.8,228.4
8,18,12.6,0,39.6,196.9
9,15.8,10.9,0,90.6,107.1
10,14.7,10.8,0,93.8,58.9
11,9.4,5.2,3,65.6,52.8
12,6.7,2.4,5,86.3,44.6
1,7.9,4.1,2,107.2,34.6
2,4.5,0.1,13,46.2,63.1
3,7.5,2,5,48.8,123.5
4,10.5,4.5,0,47.3,205.2
5,13.1,7.5,0,94.8,160.8
6,16.2,9.6,0,45.8,278.7
7,18.5,12.1,0,29.5,193.4
8,17.2,12.5,0,78.6,138.1
9,16.1,11.4,0,25.8,78.9
10,16.1,10.8,0,30.3,114.5
11,9,4.2,2,146.4,45.9
12,6.8,2.4,8,99.6,41.2
1,7.5,3.1,7,97.5,40.2
2,6.2,1.9,7,79.2,96.2
3,6.6,2,8,76.1,101.2
4,8.8,4.2,2,67,135.2
5,14.5,8.5,0,28.1,148.9
6,18.5,11.5,0,47.3,206.5
7,16.6,11.3,0,57.4,150.3
8,17.8,12.3,0,42.6,151.8
9,16.8,11.5,0,49.4,120.4
10,13.3,8.6,0,108.3,75.4
11,10.8,6.4,0,181.4,41.7
12,7.5,3.3,6,42.9,69.4
1,7.7,3.5,4,106.9,36.7
2,7.4,2.7,4,31.7,57.4
3,7.5,3.1,5,62.8,84
4,10.7,4.7,0,59.4,139
5,14.2,7.5,0,44.7,260.9
6,14.7,9.1,0,116.9,159.9
7,18.4,12.3,0,61.4,254.3
8,17.2,12.5,0,136.4,124.9
9,18.2,11.2,0,42.3,162.5
10,14.9,9.1,0,80,128.5
11,10.2,5.2,2,89.5,58.8
12,9,5.3,2,48.5,43
1,6.8,2.8,3,102,48.1
2,7,2.7,1,88.4,54.9
3,9.1,3.8,2,61.1,127.9
4,10.2,5.6,0,75.5,164.5
5,12,6.9,0,65.2,178.9
6,12.9,7.7,0,128.5,152.5
7,17,11.7,0,67.7,182
8,16.5,11.2,0,32.1,202.1
9,15.2,9,0,40.6,198
10,13.9,8.5,0,54.8,101.1
11,9.6,5.6,1,91.7,63.7
12,9.2,4.7,0,103.4,40.1
1,7.4,3.5,5,45.2,40.1
2,7.1,3.2,4,45.8,54
3,9.1,3.5,0,36,150.5
4,9.2,4.5,2,44.5,174.6
5,14.2,7.9,0,66.7,167.5
6,16.2,10,0,20.3,230
7,16.8,11.6,0,75.4,188
8,19.5,13.2,0,119.9,169.4
9,16.9,11.3,0,68.7,144.8
10,12.8,7.9,0,55.6,94.2
11,10.1,5.9,0,83.5,56.4
12,8.4,3.7,5,94.2,52.8
1,8.6,3.8,2,203.2,44.6
2,7.9,3.1,0,116.1,59.7
3,8.5,3,2,47.6,125
4,12.4,5.2,0,15.9,220.3
5,13,6.9,0,51.3,195.8
6,15.8,10.1,0,54,205.1
7,16.7,11.6,0,54.2,173.7
8,17.1,11.1,0,47.9,177.2
9,14,9.2,0,124.2,118.8
10,10.5,6.8,0,114,65.2
11,9.3,5.2,0,89.2,60
12,9.9,6.2,0,78.9,27.2
1,9.1,5,0,132.3,31.5
2,8.7,2.8,0,31.6,119.1
3,7.2,3,3,42,115.8
4,10.3,5,1,70.6,148.5
5,12.5,6.6,0,23.9,267.3
6,17,10.5,0,4.3,274.9
7,18.7,13,0,48,195.3
8,19.3,13.6,0,47.2,178.2
9,15.6,10,0,66.8,154.3
10,13.4,7.9,0,59.5,138.1
11,9.9,5.2,0,69.1,60.7
12,8.3,4.6,3,59.9,25.1
1,8,4.9,2,48.1,27.9
2,7.1,2.6,5,40.5,79.7
3,8.1,2.2,5,62,116.1
4,10.5,4.4,0,19.2,178.5
5,13.5,7.6,0,56.6,164.3
6,18.9,11.1,0,11.5,210.4
7,19.6,13.2,0,13.2,193.5
8,20.4,13.5,0,0.8,288.5
9,15.6,10.6,0,157.8,99.2
10,12.7,7.5,0,155.2,76.1
11,9.7,5.1,0,81.1,77.7
12,5.6,1.6,6,83,57.5
1,5.9,1.8,8,79.3,48
2,8.3,3.4,2,150.6,63.9
3,9.8,4.7,0,56.9,82.3
4,9.3,4.7,0,50.4,176.4
5,13.7,6.8,0,50.2,285.8
6,14.3,8.9,0,54.3,197.6
7,18.1,12.3,0,24.9,209.8
8,18,11.7,0,91.2,199.9
9,15.1,10.4,0,27.8,116
10,14.7,9.8,0,110.6,110.3
11,9,4.8,5,118.2,63.1
12,8.7,4.9,0,78.2,40.3
1,6.6,2.5,3,92.8,64
2,5.5,1.5,13,74,64.7
3,9,3.9,3,48,116.5
4,9.4,3.7,2,32.4,164
5,13.9,7.9,0,14.9,224.8
6,15.2,9.8,0,31.1,161
7,15.7,11.1,0,91,132.6
8,16.3,11.5,0,61,141
9,16.1,11.2,0,52,155.5
10,14.4,10.3,0,25.8,67.9
11,11.2,7.1,2,71.6,61.7
12,7.7,3.3,5,140,54.5
1,4.6,-0.4,17,91.1,69.4
2,4.5,0.3,12,54.2,71.9
3,6.9,2.2,3,83.3,80.9
4,9.7,4.3,1,68.2,160.7
5,11.6,5.4,0,98.3,191.5
6,15.5,9.6,0,24,167.9
7,17.6,11.9,0,13.2,211.7
8,16.8,11.2,0,93.3,160.9
9,15.7,10.3,0,44.6,144.7
10,13.9,9.1,0,158.9,110.6
11,10.4,5.7,1,93.7,53.9
12,8.9,4.4,3,152.8,48.4
1,5.8,1,9,57.9,78.7
2,8.7,4.3,0,89.9,49.8
3,7.5,2.9,4,91.6,95.7
4,10.5,5.6,0,21.4,169
5,14.5,7.2,0,27.5,236.7
6,15.2,10.2,0,76.4,143.8
7,16.6,11,0,53.9,170.3
8,17.7,12.5,0,66.3,138.6
9,16.4,11.5,0,75.4,122.6
10,11.8,7.2,0,119.3,78.7
11,9.1,5.5,2,64.8,63.4
12,8.9,4.4,3,82.9,40.4
1,8,3.6,1,40.7,51.6
2,6.4,1.1,12,52.6,80.1
3,9.9,5.7,1,164.5,85
4,11.2,5.1,0,22.5,167
5,13.8,7.4,0,70.3,163
6,15,9.8,0,28.1,162
7,16.5,11.6,0,27.7,132.9
8,18.4,12.5,0,24.2,187.6
9,17.3,10.8,0,164.8,130.5
10,11,6.5,0,217.2,75.6
11,10.7,6.2,0,51.9,46.6
12,5.5,0.6,12,78,42.7
1,6.2,2.5,9,67.3,56.9
2,8.2,3,5,78.3,82
3,8.7,3.3,0,67.5,153.4
4,10.7,5.3,0,18,185.1
5,14.5,7.5,0,30.5,203.8
6,17.8,10.7,0,94.5,179.2
7,17.9,12.3,0,53.9,190.6
8,17.2,12,0,74.2,136.9
9,16.6,10.7,0,105.4,122.4
10,12.7,7.9,0,107.9,80
11,10.6,6.4,0,141.2,51.3
12,8.1,3.2,3,78.9,33.7
1,9.1,5,1,90.8,28.3
2,5.3,0.5,15,31.1,96.5
3,8.7,4.4,0,71.8,70
4,9.1,3.4,1,68,179.5
5,12.1,6.8,0,78.4,137.9
6,15.9,10.2,0,42.9,172.7
7,20.7,13.9,0,39.5,252.1
8,19.7,13.1,0,57.1,223.6
9,16,10.8,0,93.7,115.9
10,13.2,8.1,1,81.8,98.3
11,10.6,5.8,4,44.5,60.5
12,9.3,4.9,0,122.1,49.5
1,7.4,2.4,2,80.6,44.4
2,7.1,2.2,7,52.1,58.6
3,7,2.2,3,35.3,98
4,12.5,5.1,1,8.4,216.2
5,12.2,6.4,0,44.6,236.3
6,15.9,9.8,0,24.9,199.7
7,18.9,11.9,0,38.4,285.2
8,19.9,13.2,0,40.5,185.6
9,15.5,11.3,0,154.2,127.3
10,13.6,8.4,0,95.1,109.8
11,10.2,6,0,145,53.2
12,8.6,3.8,1,133.6,45.8
1,5,-0.3,17,71.2,85.6
2,6.5,1.2,11,29.7,97.4
3,7.5,2.3,6,67,147.1
4,10.8,5.5,0,62.1,138.6
5,12.9,7.4,0,29.3,192.1
6,14.6,8.7,0,104.2,185
7,17.4,11.5,0,70.4,200.8
8,16.3,10.6,0,105.4,153.6
9,17.2,11.2,0,29.5,128.4
10,13.4,8.2,0,57.4,114.7
11,7.8,3.1,1,98.8,68
12,8.9,4.7,4,146,38.9
1,6.7,2.7,3,83.8,33.5
2,2.3,-2.7,24,0,117
3,8,2.3,4,51,133.4
4,7.6,2.6,2,70.3,124.1
5,13.1,7.3,0,63.9,210.6
6,17.6,10.4,0,57.2,182.3
7,16.8,11.6,0,41,129.4
8,15.2,10.3,0,104.8,142.1
9,14.4,8,0,9.2,161.4
10,13.7,8.8,0,82,108.9
11,10.6,5.7,0,133.8,70.1
12,9.3,4.5,0,187.9,39.3
1,4.2,0,16,18.1,62
2,6.7,1.7,11,48.3,74.2
3,7.3,2.1,10,79.7,108.3
4,13.4,6.7,0,50.9,161.6
5,12.1,7.3,0,19.8,193.9
6,14.3,9.2,0,66.8,162.5
7,17.4,12.1,0,45.7,177.6
8,17.5,12.3,0,57.3,185.2
9,16.3,10.6,0,78.2,151.9
10,12.7,7,0,219.2,116.1
11,9.4,5.3,0,103,88.7
12,8.2,4.3,6,64.7,56.2
1,7.9,3.7,0,164,53
2,7.2,2.8,1,47.2,82.9
3,8.5,4.6,2,103.3,107.7
4,11.3,4.9,1,40.3,191.7
5,13.9,7.7,0,61.9,225.1
6,16.4,10.6,0,77.1,203.3
7,15.8,11,0,76.9,138.2
8,16.9,11.2,0,78.7,161.3
9,15.3,10.5,0,76.4,152.6
10,13.4,8.4,0,98.5,113.1
11,9.9,3.9,2,36.9,97.4
12,9.8,6.8,0,36.9,26.8
1,8.9,4.6,2,69.9,70.9
2,8.7,3.6,2,71.6,79.1
3,9.9,4.3,3,85.1,104.3
4,9.5,3.4,1,63.7,185.1
5,15.5,8.8,0,11.9,265.8
6,16.7,9.9,0,42.2,251
7,19.7,13,0,34.3,246.2
8,18.4,12.5,0,67.5,225.5
9,16.4,11,0,40,114.1
10,13.9,9.6,0,104.1,58.2
11,10.5,5.2,2,73.8,96.7
12,8,2.9,3,120.2,49.7
1,9.1,4.8,0,118,48
2,9.9,4.6,0,91.2,64.9
3,10.5,5.3,0,14.4,100.9
4,11,4.6,3,20.9,187
5,15.7,8.8,0,24.3,259.2
6,15.7,10,0,64.4,151.3
7,20.1,12.7,0,33,289.9
8,19.8,13.7,0,42.6,195.4
9,15.7,10.4,0,57.6,164
10,14.3,9.9,0,108.6,91.7
11,9.6,5.5,0,79.2,78.6
12,7.5,2.8,3,97.5,48.1
1,6.1,1.2,10,97.1,81.4
2,5.4,-0.1,15,55.4,83.5
3,10,5,0,66.5,113.5
4,10.6,5,0,77.3,149.9
5,12.6,7.6,0,9.4,192.2
6,14.3,9,0,42.6,167.7
7,19,13,0,79.9,169.9
8,19.5,12.8,0,26,208.8
9,18.2,11.6,0,55.6,184
10,12.6,8.1,0,142.4,85.5
11,9.7,5.4,0,99.6,29.9
12,7.9,3.8,4,17.7,33.9
1,7.3,2.1,13,47.3,80.8
2,8.6,4.4,0,55.5,59.5
3,9.6,4.9,0,66.8,59.2
4,11.2,5.4,0,69.5,127.2
5,16.6,9.1,0,43.8,245
6,17.6,11,0,49.6,212.8
7,17.8,12.4,0,60,166.2
8,16.6,11.3,0,149.3,170.9
9,15.2,10.3,0,74.6,116
10,10.6,6.7,0,77.6,84.1
11,10.5,5.9,0,109.6,50.2
12,7.2,2.6,5,109.9,74.6
1,8.9,3.8,1,93.4,28.6
2,7.3,3.7,1,23.5,44.1
3,8.8,4.4,0,24.6,101.7
4,11.8,6.5,0,57,158.5
5,13.8,7.8,0,108.4,195.1
6,15.9,10.6,0,190.6,182.4
7,16.6,11.6,0,74,191.2
8,16.6,10.9,0,47.8,185.6
9,15.2,9.9,0,66.8,136
10,11.1,6.1,0,45.6,135.8
11,8.1,3.1,6,112.9,72.2
12,8.5,4.2,1,142.6,28.6
1,8.1,3.6,1,106.5,59.1
2,6.4,1.7,6,87.2,61.5
3,9.5,5.3,0,114.8,104.4
4,10,4.8,0,73.8,172.2
5,13.5,7.4,0,41.3,185.1
6,16,9.9,0,28.2,183.3
7,18.8,12.2,0,54.6,206.2
8,17.7,12,0,80,186.4
9,14.7,10.1,0,115.8,109.3
10,13.6,8.5,0,91.8,141.9
11,12.2,8.8,0,99.6,43.7
12,9.8,5.2,2,157.4,51
1,8.4,3.5,2,145.6,36.9
2,9.2,4.5,0,109.1,44
3,8.3,2.8,4,64.7,149.9
4,10.8,5.5,2,26.6,183.8
5,14,7.7,0,50.2,204.9
6,16.5,10.6,0,13.4,260.2
7,21.1,13.9,0,36.9,227.8
8,22.4,14.9,0,7.8,292.1
9,15.9,11.2,0,77.2,158.4
10,15.5,10.8,0,86.8,120.2
11,10.7,5.8,0,117,80.2
12,6,1.8,9,93.5,67.6
1,6.9,3.4,8,75.1,50
2,6,1.1,13,67.4,115
3,7.7,3,3,44.8,94.1
4,11.1,4.9,0,58.2,151.2
5,11.8,5.4,0,69.4,250.7
6,15.7,9.8,0,26.8,252.5
7,17.8,12,0,28,222.2
8,17.9,12.2,0,53,183.1
9,17,10.6,0,30.4,204.9
10,14.1,10,0,107.2,82.7
11,9.4,5.1,0,100.6,59.9
12,6.3,1.6,8,32,83.8
1,5.8,1,13,4.6,95.7
2,9.2,4.2,0,85,68.1
3,10.8,5.6,0,21.6,146.9
4,12.3,6,0,14.8,184.5
5,14.7,7.9,0,72.6,258.1
6,15.8,10.5,0,125.8,134.4
7,18.2,11.9,0,58.6,228.9
8,20.2,14.1,0,105.2,156.8
9,16.7,11.3,0,54.2,145
10,14,8.4,0,65.4,121.6
11,11.3,7.4,0,219,48.8
12,9.1,4.7,2,64.8,50.1
1,8,3.5,7,125.2,69.8
2,9.9,5.5,1,18.2,78.5
3,10.1,6.1,0,87.6,80
4,10.2,4.6,1,111.4,177.2
5,14.6,9.3,0,15,233.6
6,16.1,10.6,0,120.2,178.5
7,16.4,12.1,0,39.4,144.3
8,17.9,12,0,43.4,207.3
9,17,12,0,91.2,135.2
10,13.4,8.9,0,124.2,91.6
11,9.7,5.6,0,103,69.9
12,9.1,3.9,5,91.6,32.8
1,8.7,3.8,5,143,55.1
2,8,4.1,2,48.6,63.5
3,9.4,4.8,0,59.2,101.6
4,11.5,6.4,0,63.1,163.5
5,14.8,9.3,0,42.6,153.8
6,15.6,10,0,59.4,199.9
7,19.7,13,0,14.6,233.4
8,18.7,12.6,0,126.8,191.4
9,17.5,11.4,0,101.8,140.4
10,13.7,8.7,0,84.8,118.5
11,10.6,6.6,1,74.2,66.4
12,8.5,4.2,3,136.4,42.1
1,7.8,3.6,3,54.4,51.9
2,8.6,4.3,1,107,96.3
3,9.3,4.7,0,28.8,138.5
4,10.3,4.2,0,87.6,159.9
5,14.4,8.3,0,58.4,230.9
6,16.9,10.7,0,53.8,194.7
7,17.5,11.8,0,75.2,218.4
8,18.5,12.3,0,59.4,186.2
9,17.1,11.4,0,95.4,112
10,12.9,8,0,195,84.2
11,9.5,5.3,0,151.8,44.4
12,8.4,4.1,5,143.8,42.7
1,6.8,2.2,5,56.4,86.8
2,7.6,2.7,5,91,95.7
3,8.3,2.9,6,77,105.9
4,9.9,4.8,0,76,152.5
5,15.4,8.6,0,44.4,236.8
6,16.6,10.2,0,28,194.1
7,17.4,11.9,0,98.6,181
8,17.9,12.6,0,97.6,166.7
9,15.6,11.5,0,54.2,127.8
10,15.1,10.5,0,147.4,110.2
11,11.1,6.7,0,87.8,38.2
12,7.8,2.5,6,41,81.9
1,9.2,4.1,4,113,53.5
2,9.6,4.6,1,111.2,70
3,10.6,5.1,0,48.8,124.1
4,11.6,5.6,0,56.8,175.3
5,13.9,8.1,0,120.6,205.3
7,16.9,11.7,0,46,145.1
8,17.4,12.6,0,56.6,152
9,17.3,10.9,0,43,188.7
10,13.3,8.4,0,141.4,90.6
11,11.3,7.6,0,180.2,40.1
12,8.2,4.9,0,84.8,46.4
1,7.4,3.2,9,57.6,84.3
2,7.4,2.3,7,27.6,107.9
3,11.3,4.8,0,46.4,192
4,13.7,6.5,0,36.8,194.9
5,13.7,8,0,51.6,173.9
6,17.8,11.1,0,46.8,211.4
7,19.1,13.1,0,71.8,144.7
8,19.7,13.8,0,25.4,204.2
9,17.3,10.7,0,62.8,149
10,12.4,7,0,78.8,121
11,11.1,6.5,0,111.4,73.3
12,8.4,3.8,3,91.2,56.1
1,8.2,3.8,1,99,49
2,7.6,3.8,2,48.4,99
3,9.5,3.9,4,30.4,154.1
4,10.8,6.2,0,50.4,118.7
6,17.6,11.5,0,25.8,210.3
7,17,11.7,0,46.9,165.4
8,19.1,13.6,0,160,144.3
9,16.9,12,0,81.8,132.3
10,12.9,8.2,0,168.8,104.5
11,10.5,7.5,0,56.2,43.6
12,9.1,4.8,1,89.6,49.3
1,8.8,5,0,53.4,53.4
2,6.8,2.7,2,44.8,74.3
3,10,5.4,2,25.6,88.5
4,11.7,5.7,0,83.2,158.5
5,13.6,7.6,0,30.2,225.1
6,17.2,11.6,0,29.6,185.3
7,18.4,12.8,0,77.8,175.4
8,18.2,12.3,0,40.2,225.7
9,17.4,11.7,0,58.2,147.3
10,14.6,10.6,0,194.4,81.2
11,10.3,4.8,1,128.2,81.9
12,8.3,4,5,57.2,48.2
1,7,2.8,6,30.2,92.5
2,6.5,2.2,6,50.8,74.6
3,7.9,2.9,5,79.6,106
4,10.5,5.8,0,39.2,185.4
5,13.9,8.1,0,118.6,159.5
6,18,11.3,0,19,254.4
7,21.2,13.7,0,32.8,236.6
8,17.1,12.9,0,68,123.5
9,18.7,13,0,53.6,160.9
10,15.1,10.6,0,81.8,108.5
11,11.3,6.1,0,132.2,94.2
12,9.3,5.3,3,153.8,44.2
1,9.5,5.5,0,94.8,57.5
2,8.8,4,2,91.9,87.6
3,9.5,4.4,0,69,151.6
4,13.8,7.4,0,9.8,235.1
5,14.3,8.5,0,81.8,216.8
6,16.9,11.6,0,92.1,158.2
7,16.7,11.8,0,155.2,181.2
8,17,12.3,0,59.4,175.1
9,16.1,11.6,0,57.4,147.8
10,14,9.2,0,28.8,117.7
11,10.8,6.8,1,48.6,52.9
12,8.7,3.6,7,103.6,74.4
1,9.4,4.7,1,140,54.7
2,9.5,3.3,3,44.4,133.1
3,8.7,4.4,0,75.8,118.8
4,10.7,4.9,2,79.4,184.5
5,16.5,9.6,0,63.9,194.9
6,15.8,10.1,0,60.5,234.2
7,17.9,12.5,0,84.4,177.2
8,17.6,13,0,102.8,94.4
9,15.9,10.2,0,72.6,139
10,12.4,8.4,0,153.6,101.6
11,9.7,6.3,1,80.3,66.1
12,7.4,3.1,6,67.6,73.6
1,6.8,1.4,9,113,90.9
2,6.7,2.7,7,23.6,56.2
3,9.6,4.2,1,34.6,151
4,12,6,0,60.2,178.6
5,14.3,8,0,70.8,204.1
6,17.7,10.9,0,59.8,221.9
7,18,12.6,0,154.8,156.8
8,18.3,12.5,0,59.4,159.7
9,15.9,11,0,22.8,145.1
10,14.3,9.6,0,82.4,78.9
