date,areaType,areaCode,areaName,newCasesByPublishDate,newDeaths28DaysByPublishDate
18/01/2021,utla,E10000018,Leicestershire,338,1
15/11/2020,utla,E06000007,Warrington,76,0
17/01/2021,utla,E10000018,Leicestershire,305,5
16/01/2021,utla,E10000018,Leicestershire,300,10
15/01/2021,utla,E10000018,Leicestershire,520,12
14/01/2021,utla,E10000018,Leicestershire,321,12
13/01/2021,utla,E10000018,Leicestershire,445,17
12/01/2021,utla,E10000018,Leicestershire,359,10
11/01/2021,utla,E10000018,Leicestershire,333,4
10/01/2021,utla,E10000018,Leicestershire,305,3
09/01/2021,utla,E10000018,Leicestershire,394,12
08/01/2021,utla,E10000018,Leicestershire,366,7
07/01/2021,utla,E10000018,Leicestershire,327,11
06/01/2021,utla,E10000018,Leicestershire,449,14
05/01/2021,utla,E10000018,Leicestershire,359,16
04/01/2021,utla,E10000018,Leicestershire,500,4
03/01/2021,utla,E10000018,Leicestershire,254,9
02/01/2021,utla,E10000018,Leicestershire,456,1
01/01/2021,utla,E10000018,Leicestershire,399,11
14/11/2020,utla,E06000007,Warrington,88,2
13/11/2020,utla,E06000007,Warrington,114,1
12/11/2020,utla,E06000007,Warrington,110,3
11/11/2020,utla,E06000007,Warrington,143,4
10/11/2020,utla,E06000007,Warrington,87,4
09/11/2020,utla,E06000007,Warrington,66,3
08/11/2020,utla,E06000007,Warrington,86,0
07/11/2020,utla,E06000007,Warrington,138,5
31/12/2020,utla,E10000018,Leicestershire,396,15
30/12/2020,utla,E10000018,Leicestershire,330,8
29/12/2020,utla,E10000018,Leicestershire,320,8
28/12/2020,utla,E10000018,Leicestershire,315,1
06/11/2020,utla,E06000007,Warrington,103,0
05/11/2020,utla,E06000007,Warrington,102,3
04/11/2020,utla,E06000007,Warrington,178,0
27/12/2020,utla,E10000018,Leicestershire,103,5
26/12/2020,utla,E10000018,Leicestershire,292,1
25/12/2020,utla,E10000018,Leicestershire,275,4
24/12/2020,utla,E10000018,Leicestershire,256,9
23/12/2020,utla,E10000018,Leicestershire,293,9
22/12/2020,utla,E10000018,Leicestershire,247,9
03/11/2020,utla,E06000007,Warrington,73,3
02/11/2020,utla,E06000007,Warrington,136,1
01/11/2020,utla,E06000007,Warrington,132,0
21/12/2020,utla,E10000018,Leicestershire,202,5
31/10/2020,utla,E06000007,Warrington,138,0
30/10/2020,utla,E06000007,Warrington,190,4
29/10/2020,utla,E06000007,Warrington,124,1
28/10/2020,utla,E06000007,Warrington,189,3
27/10/2020,utla,E06000007,Warrington,164,4
26/10/2020,utla,E06000007,Warrington,107,0
25/10/2020,utla,E06000007,Warrington,152,0
24/10/2020,utla,E06000007,Warrington,128,5
20/12/2020,utla,E10000018,Leicestershire,214,2
19/12/2020,utla,E10000018,Leicestershire,165,13
18/12/2020,utla,E10000018,Leicestershire,239,3
23/10/2020,utla,E06000007,Warrington,79,2
17/12/2020,utla,E10000018,Leicestershire,152,4
22/10/2020,utla,E06000007,Warrington,89,6
16/12/2020,utla,E10000018,Leicestershire,188,10
15/12/2020,utla,E10000018,Leicestershire,127,9
14/12/2020,utla,E10000018,Leicestershire,146,1
13/12/2020,utla,E10000018,Leicestershire,156,3
21/10/2020,utla,E06000007,Warrington,134,1
12/12/2020,utla,E10000018,Leicestershire,177,5
20/10/2020,utla,E06000007,Warrington,157,0
11/12/2020,utla,E10000018,Leicestershire,180,3
19/10/2020,utla,E06000007,Warrington,133,2
18/10/2020,utla,E06000007,Warrington,90,1
17/10/2020,utla,E06000007,Warrington,129,0
10/12/2020,utla,E10000018,Leicestershire,223,9
16/10/2020,utla,E06000007,Warrington,65,0
15/10/2020,utla,E06000007,Warrington,130,2
14/10/2020,utla,E06000007,Warrington,88,2
13/10/2020,utla,E06000007,Warrington,128,2
09/12/2020,utla,E10000018,Leicestershire,123,6
08/12/2020,utla,E10000018,Leicestershire,104,10
07/12/2020,utla,E10000018,Leicestershire,194,0
12/10/2020,utla,E06000007,Warrington,109,0
11/10/2020,utla,E06000007,Warrington,79,1
10/10/2020,utla,E06000007,Warrington,96,1
06/12/2020,utla,E10000018,Leicestershire,193,5
09/10/2020,utla,E06000007,Warrington,71,0
05/12/2020,utla,E10000018,Leicestershire,196,9
04/12/2020,utla,E10000018,Leicestershire,160,9
03/12/2020,utla,E10000018,Leicestershire,122,4
02/12/2020,utla,E10000018,Leicestershire,178,11
01/12/2020,utla,E10000018,Leicestershire,136,7
08/10/2020,utla,E06000007,Warrington,136,3
12/02/2021,utla,E06000051,Shropshire,65,2
30/11/2020,utla,E10000018,Leicestershire,114,4
29/11/2020,utla,E10000018,Leicestershire,123,6
28/11/2020,utla,E10000018,Leicestershire,177,8
27/11/2020,utla,E10000018,Leicestershire,168,1
26/11/2020,utla,E10000018,Leicestershire,205,9
25/11/2020,utla,E10000018,Leicestershire,219,6
07/10/2020,utla,E06000007,Warrington,126,0
24/11/2020,utla,E10000018,Leicestershire,137,6
23/11/2020,utla,E10000018,Leicestershire,203,2
22/11/2020,utla,E10000018,Leicestershire,295,4
21/11/2020,utla,E10000018,Leicestershire,380,3
20/11/2020,utla,E10000018,Leicestershire,229,4
06/10/2020,utla,E06000007,Warrington,111,1
19/11/2020,utla,E10000018,Leicestershire,289,7
05/10/2020,utla,E06000007,Warrington,75,0
11/02/2021,utla,E06000051,Shropshire,83,9
04/10/2020,utla,E06000007,Warrington,157,0
10/02/2021,utla,E06000051,Shropshire,91,7
18/11/2020,utla,E10000018,Leicestershire,293,6
09/02/2021,utla,E06000051,Shropshire,48,10
17/11/2020,utla,E10000018,Leicestershire,329,14
16/11/2020,utla,E10000018,Leicestershire,565,0
15/11/2020,utla,E10000018,Leicestershire,463,1
14/11/2020,utla,E10000018,Leicestershire,367,3
13/11/2020,utla,E10000018,Leicestershire,358,1
12/11/2020,utla,E10000018,Leicestershire,603,5
08/02/2021,utla,E06000051,Shropshire,76,1
11/11/2020,utla,E10000018,Leicestershire,269,10
03/10/2020,utla,E06000007,Warrington,92,0
02/10/2020,utla,E06000007,Warrington,36,1
01/10/2020,utla,E06000007,Warrington,50,0
07/02/2021,utla,E06000051,Shropshire,64,4
30/09/2020,utla,E06000007,Warrington,51,0
29/09/2020,utla,E06000007,Warrington,46,1
28/09/2020,utla,E06000007,Warrington,34,0
10/11/2020,utla,E10000018,Leicestershire,467,4
