areaName,popscale,color
South East (England),9180135,brown
London,8961989,orange
North West (England),7341196,pink
East of England,6236072,blue
West Midlands (England),5934037,yellow
South West (England),5624696,grey
Yorkshire and the Humber,5502967,black
East Midlands (England),4835928,green
North East (England),2669941,red
