AcadYear,StuNo,Active,Activedate,CreatedDate
16,1100702,Y,04/09/2016,02/09/2016
16,1107488,Y,04/09/2016,02/09/2016
16,1201870,Y,04/09/2016,02/09/2016
16,1301366,Y,04/09/2016,02/09/2016
16,1303493,Y,04/09/2016,02/09/2016
16,1403337,Y,04/09/2016,02/09/2016
16,1501924,Y,04/09/2016,02/09/2016
16,1501966,Y,04/09/2016,02/09/2016
16,1507004,Y,04/09/2016,02/09/2016
16,1507319,Y,04/09/2016,02/09/2016
16,1600010,Y,04/09/2016,02/09/2016
16,1600338,Y,04/09/2016,02/09/2016
16,1600429,Y,04/09/2016,02/09/2016
16,1600497,Y,04/09/2016,02/09/2016
16,1600497,Y,04/09/2016,02/09/2016
16,1600536,Y,04/09/2016,02/09/2016
16,1600617,Y,04/09/2016,02/09/2016
16,1601165,Y,04/09/2016,02/09/2016
16,1601170,Y,04/09/2016,02/09/2016
16,1601172,Y,04/09/2016,02/09/2016
16,1601269,Y,04/09/2016,02/09/2016
16,1601369,Y,04/09/2016,02/09/2016
16,1601677,Y,04/09/2016,02/09/2016
16,1601678,Y,04/09/2016,02/09/2016
16,1601684,Y,04/09/2016,02/09/2016
16,1601963,Y,04/09/2016,02/09/2016
16,1602082,Y,04/09/2016,02/09/2016
16,1602114,Y,04/09/2016,02/09/2016
16,1604061,Y,04/09/2016,02/09/2016
16,1604421,Y,04/09/2016,02/09/2016
16,1605126,Y,04/09/2016,02/09/2016
16,1606630,Y,04/09/2016,01/09/2016
16,1606643,Y,04/09/2016,02/09/2016
16,1606643,Y,04/09/2016,02/09/2016
16,1606761,Y,04/09/2016,02/09/2016
16,1606817,Y,04/09/2016,01/09/2016
16,1606820,Y,04/09/2016,02/09/2016
16,1606836,Y,04/09/2016,02/09/2016
16,1607005,Y,04/09/2016,02/09/2016
16,1607091,Y,04/09/2016,02/09/2016
16,1607225,Y,04/09/2016,01/09/2016
16,1607293,Y,04/09/2016,02/09/2016
16,1607297,Y,04/09/2016,02/09/2016
16,1607299,Y,04/09/2016,02/09/2016
16,1607354,Y,04/09/2016,02/09/2016
16,1607371,Y,04/09/2016,01/09/2016
16,1607559,Y,04/09/2016,02/09/2016
16,1607577,Y,04/09/2016,02/09/2016
16,1607603,Y,04/09/2016,02/09/2016
16,1607616,Y,04/09/2016,02/09/2016
16,1607618,Y,04/09/2016,02/09/2016
16,706876,Y,05/09/2016,05/09/2016
16,1000505,Y,05/09/2016,05/09/2016
16,1102985,Y,05/09/2016,05/09/2016
16,1200202,Y,05/09/2016,02/09/2016
16,1202516,Y,05/09/2016,05/09/2016
16,1202621,Y,05/09/2016,05/09/2016
16,1203478,Y,05/09/2016,05/09/2016
16,1207647,Y,05/09/2016,05/09/2016
16,1304092,Y,05/09/2016,02/09/2016
16,1400654,Y,05/09/2016,01/09/2016
16,1402882,Y,05/09/2016,01/09/2016
16,1507157,Y,05/09/2016,02/09/2016
16,1600025,Y,05/09/2016,05/09/2016
16,1600550,Y,05/09/2016,02/09/2016
16,1600687,Y,05/09/2016,02/09/2016
16,1601583,Y,05/09/2016,02/09/2016
16,1602202,Y,05/09/2016,01/09/2016
16,1604516,Y,05/09/2016,05/09/2016
16,1604588,Y,05/09/2016,22/08/2016
16,1604829,Y,05/09/2016,05/09/2016
16,1605774,Y,05/09/2016,02/09/2016
16,1606396,Y,05/09/2016,01/09/2016
16,1606787,Y,05/09/2016,02/09/2016
16,1606972,Y,05/09/2016,01/09/2016
16,1607123,Y,05/09/2016,22/08/2016
16,1607189,Y,05/09/2016,01/09/2016
16,1607220,Y,05/09/2016,30/08/2016
16,1607221,Y,05/09/2016,30/08/2016
16,1607226,Y,05/09/2016,02/09/2016
16,1607286,Y,05/09/2016,22/08/2016
16,1607323,Y,05/09/2016,05/09/2016
16,1607486,Y,05/09/2016,01/09/2016
16,1607734,Y,05/09/2016,02/09/2016
16,1607940,Y,05/09/2016,02/09/2016
16,96152373,Y,05/09/2016,30/08/2016
16,98D02343,Y,05/09/2016,02/09/2016
16,803089,Y,06/09/2016,05/09/2016
16,1004458,Y,06/09/2016,05/09/2016
16,1007590,Y,06/09/2016,05/09/2016
16,1100934,Y,06/09/2016,05/09/2016
16,1300447,Y,06/09/2016,05/09/2016
16,1300712,Y,06/09/2016,05/09/2016
16,1301070,Y,06/09/2016,05/09/2016
16,1304024,Y,06/09/2016,05/09/2016
16,1401671,Y,06/09/2016,02/09/2016
16,1402980,Y,06/09/2016,05/09/2016
16,1502475,Y,06/09/2016,05/09/2016
16,1502535,Y,06/09/2016,05/09/2016
16,1503529,Y,06/09/2016,05/09/2016
16,1503967,Y,06/09/2016,05/09/2016
16,1505057,Y,06/09/2016,05/09/2016
16,1505122,Y,06/09/2016,05/09/2016
16,1505160,Y,06/09/2016,05/09/2016
16,1505495,Y,06/09/2016,05/09/2016
16,1506464,Y,06/09/2016,05/09/2016
16,1507218,Y,06/09/2016,05/09/2016
16,1600044,Y,06/09/2016,05/09/2016
16,1600076,Y,06/09/2016,05/09/2016
16,1600095,Y,06/09/2016,05/09/2016
16,1600107,Y,06/09/2016,05/09/2016
16,1600108,Y,06/09/2016,05/09/2016
16,1600124,Y,06/09/2016,05/09/2016
16,1600133,Y,06/09/2016,05/09/2016
16,1600135,Y,06/09/2016,05/09/2016
16,1600141,Y,06/09/2016,05/09/2016
16,1600180,Y,06/09/2016,05/09/2016
16,1600182,Y,06/09/2016,05/09/2016
16,1600202,Y,06/09/2016,05/09/2016
16,1600246,Y,06/09/2016,05/09/2016
16,1600324,Y,06/09/2016,06/09/2016
16,1600337,Y,06/09/2016,05/09/2016
16,1600344,Y,06/09/2016,05/09/2016
16,1600347,Y,06/09/2016,05/09/2016
16,1600360,Y,06/09/2016,05/09/2016
16,1600406,Y,06/09/2016,05/09/2016
16,1600487,Y,06/09/2016,05/09/2016
16,1600507,Y,06/09/2016,05/09/2016
16,1600523,Y,06/09/2016,05/09/2016
16,1600545,Y,06/09/2016,05/09/2016
16,1600596,Y,06/09/2016,05/09/2016
16,1600618,Y,06/09/2016,05/09/2016
16,1600648,Y,06/09/2016,05/09/2016
16,1600660,Y,06/09/2016,05/09/2016
16,1600665,Y,06/09/2016,05/09/2016
16,1600726,Y,06/09/2016,05/09/2016
16,1600741,Y,06/09/2016,05/09/2016
16,1600774,Y,06/09/2016,05/09/2016
16,1600789,Y,06/09/2016,05/09/2016
16,1600830,Y,06/09/2016,05/09/2016
16,1600865,Y,06/09/2016,05/09/2016
16,1600910,Y,06/09/2016,05/09/2016
16,1600944,Y,06/09/2016,05/09/2016
16,1600955,Y,06/09/2016,05/09/2016
16,1600973,Y,06/09/2016,05/09/2016
16,1600982,Y,06/09/2016,05/09/2016
16,1601005,Y,06/09/2016,05/09/2016
16,1601038,Y,06/09/2016,05/09/2016
16,1601064,Y,06/09/2016,05/09/2016
16,1601100,Y,06/09/2016,05/09/2016
16,1601115,Y,06/09/2016,05/09/2016
16,1601132,Y,06/09/2016,05/09/2016
16,1601137,Y,06/09/2016,05/09/2016
16,1601184,Y,06/09/2016,05/09/2016
16,1601251,Y,06/09/2016,05/09/2016
16,1601275,Y,06/09/2016,05/09/2016
16,1601301,Y,06/09/2016,05/09/2016
16,1601305,Y,06/09/2016,05/09/2016
16,1601355,Y,06/09/2016,05/09/2016
16,1601357,Y,06/09/2016,05/09/2016
16,1601388,Y,06/09/2016,05/09/2016
16,1601402,Y,06/09/2016,05/09/2016
16,1601422,Y,06/09/2016,05/09/2016
16,1601526,Y,06/09/2016,05/09/2016
