areaName,popscale,color
South East,3.438,brown
London,3.357,orange
North West,2.750,pink
East of England,2.336,blue
West Midlands,2.223,yellow
South West,2.107,grey
Yorkshire and the Humber,2.061,black
East Midlands,1.811,green
North East,1.000,red
