stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1400313,1400313/1,F,No,BAPESC,FT,X06,22,1,L6,300,63.38,77.08,5,29
1400317,1400317/3,M,No,BAPESEC,FT,HUK,21,9,L6,240,60.38,61.45,0,0
1400344,1400344/1,F,Yes,BAAAH,FT,X06,21,1,L6,280,58.63,60.3,1,2
1400349,1400349/1,F,No,BAAAH,FT,HUK,20,5,L6,300,65.75,63.63,0,1
1400373,1400373/1,F,Yes,BAPESC,FT,X06,21,5,L6,250,60.25,66.33,0,27
1400387,1400387/1,F,No,BSCSPEX,FT,HUK,21,2,L6,380,57.63,62.65,1,9
1400389,1400389/1,F,No,BAPESC,FT,X06,21,3,L6,430,50.5,54.03,0,0
1400401,1400401/1,F,No,BAAAH,FT,X06,21,9,L6,420,68.25,67.88,0,1
1400402,1400402/1,F,Yes,BAAAH,FT,X06,21,4,L6,310,67.13,62.85,0,52
1400403,1400403/1,M,Yes,BACOMMU,FT,HUK,22,3,L6,420,64.88,67.25,0,0
1400424,1400424/1,F,No,BABM,FT,X06,21,1,L6,300,75.13,67.48,0,1
1400429,1400429/1,M,Yes,BAPESC,FT,Q80,25,3,L6,570,65.63,65.73,0,36
1400435,1400435/1,M,Yes,BAAAH,FT,X06,22,3,L6,260,57.75,64.13,0,11
1400436,1400436/1,M,Yes,BAAAH,FT,X06,21,2,L6,420,61.88,60.85,0,23
1400441,1400441/1,M,No,BASPDEVCO,FT,X06,21,5,L6,260,51.75,49.3,0,0
1400453,1400453/1,M,Yes,BAAAH,FT,X06,21,1,L6,330,63.63,62.8,0,19
1400455,1400455/1,F,No,BAAAH,FT,X06,21,6,L6,500,67.83,74.08,0,0
1400461,1400461/1,M,No,BAAAH,FT,X06,21,3,L6,440,64,65.98,0,13
1400462,1400462/1,M,No,BAPESC,FT,X06,20,6,L6,200,59.13,57.4,0,1
1400474,1400474/1,M,No,BSCSPEX,FT,HUK,21,1,L6,320,64.38,75.53,0,0
1400487,1400487/1,F,Yes,BAAAH,FT,P50,20,1,L6,350,58.63,60.9,0,32
1400489,1400489/1,F,No,BAAAH,FT,X06,21,9,L6,200,60.88,59.63,0,6
1400490,1400490/1,F,No,BAPESC,FT,X06,21,3,L6,250,61,62.03,0,0
1400505,1400505/1,F,No,BAAAH,FT,Q80,22,7,L6,360,51.75,59.35,0,21
1400510,1400510/1,F,No,BAAAH,FT,X06,21,2,L6,400,63.38,65.83,0,2
1400512,1400512/1,F,No,BABM,FT,X06,21,4,L6,200,69.38,58.75,0,23
1400515,1400515/1,F,No,BAPESC,FT,X06,21,6,L6,420,59.38,73.55,0,0
1400516,1400516/1,F,No,BAAAH,FT,P50,21,1,L6,510,75.46,71,0,16
1400518,1400518/1,F,No,BAPESC,FT,X06,21,6,L6,310,61.5,65.53,0,0
1400521,1400521/1,M,Yes,BSCSPEX,FT,X06,21,2,L6,260,66,72.85,0,20
1400522,1400522/1,F,No,BAAAH,FT,X04,21,1,L6,350,75.54,73.1,0,0
1400526,1400526/1,F,No,BAAAH,FT,HUK,21,3,L6,300,61.75,58.73,0,2
1400552,1400552/1,F,No,BAAAH,FT,X06,21,6,L6,220,59.25,63,0,0
1400555,1400555/1,M,No,BASPDEVCO,FT,X06,21,1,L6,210,55.13,51.2,0,0
1400562,1400562/1,M,No,BAPESC,FT,X06,21,6,L6,120,51.63,67.43,0,2
1400587,1400587/1,M,No,BSCSPEX,FT,X06,21,3,L6,280,59.5,68.13,0,0
1400590,1400590/1,F,No,BAAAH,FT,X06,21,9,L6,500,57.63,59.75,0,3
1400591,1400591/1,F,No,BABM,FT,X06,21,1,L6,280,74,65.2,0,0
1400593,1400593/1,F,No,BAPESC,FT,X06,21,4,L6,150,50.88,54.03,0,0
1400626,1400626/1,M,Yes,BAAAH,FT,X04,22,2,L6,280,59.88,61.1,0,62
1400629,1400629/1,F,No,BSCSPTH,FT,X06,21,1,L6,200,62.75,60.15,1,1
1400633,1400633/1,F,Yes,BAAAH,FT,X06,21,6,L6,300,62.75,66.33,0,15
1400637,1400637/1,F,No,BAPEPRI,FT,C90,21,7,L6,280,60,55.73,0,7
1400638,1400638/1,F,No,BAAAH,FT,X06,21,3,L6,200,56.88,58.9,0,0
1400674,1400674/1,F,No,BAPESC,FT,X06,21,2,L6,280,64.88,70,0,0
1400710,1400710/1,F,No,BAAAH,FT,X06,22,6,L6,080,60.5,59.2,0,0
1400727,1400727/1,F,No,BAPESC,FT,X06,21,9,L6,300,63.88,72.5,0,0
1400728,1400728/1,F,No,BSCSPTH,FT,X06,20,9,L6,480,59.63,59.68,0,2
1400733,1400733/1,F,Yes,BSCSPEX,FT,Q80,21,5,L6,380,69,69.18,0,16
1400741,1400741/1,F,No,BSCPSYCH,FT,X06,20,9,L6,280,67.5,69.7,1,2
1400745,1400745/1,M,No,BAAAH,FT,P50,21,9,L6,320,65.83,68.25,0,0
1400762,1400762/1,F,No,BAAAH,FT,X06,21,2,L6,500,67.04,70.8,0,0
1400766,1400766/1,M,No,BSCMAML,FT,X06,22,6,L6,310,64.35,63.1,0,0
1400766,1400766/1,M,No,BSCMAML,FT,X06,22,6,L6,310,64.15,63.1,0,0
1400771,1400771/1,F,Yes,BAAAH,FT,X06,21,2,L6,250,65.25,66.98,0,31
1400773,1400773/1,M,Yes,BSCPSYCH,FT,X06,22,9,L6,260,65.13,64.73,0,10
1400775,1400775/1,M,No,BAAAH,FT,X06,23,2,L6,380,59.25,55.55,0,0
1400792,1400792/1,M,No,BAAAH,FT,X06,22,6,L6,260,59.75,68.48,0,0
1400799,1400799/1,F,No,BAAAH,FT,X06,21,2,L6,320,69.42,72.73,0,0
1400808,1400808/1,F,No,BAAAH,FT,X06,23,3,L6,340,58.88,57.5,0,0
1400823,1400823/1,M,Yes,BAAAH,FT,X06,21,1,L6,200,60.13,61.6,0,6
1400836,1400836/1,F,No,BAAAH,FT,X06,21,9,L6,370,65.38,64.93,0,26
1400842,1400842/1,M,Yes,BAPESC,FT,X06,21,1,L6,210,63.25,67.1,0,24
1400853,1400853/2,F,No,BASPDEVCO,FT,X06,22,2,L6,430,47.75,51.23,1,4
1400871,1400871/1,F,No,BAPESC,FT,X06,21,1,L6,380,71.25,67.15,0,1
1400874,1400874/1,M,Yes,BAAAH,FT,X06,22,2,L6,420,64.13,66.08,0,1
1400876,1400876/1,F,No,BAAAH,FT,X06,22,9,L6,420,71.88,73.53,0,2
1400886,1400886/1,F,No,BAAAH,FT,X06,21,1,L6,420,60.13,67.03,0,0
1400892,1400892/1,F,No,BASPST,FT,X06,20,7,L6,230,57.88,62.8,0,0
1400924,1400924/1,M,No,BSCSEPS,FT,X06,22,2,L6,190,57.75,62.25,1,0
1400943,1400943/1,F,No,BAAAH,FT,X06,21,1,L6,230,55.88,57.8,0,0
1400948,1400948/1,F,No,BAAAH,FT,X06,20,2,L6,360,64.88,67.25,0,0
1400953,1400953/1,F,No,BABM,FT,X06,20,9,L6,190,58.75,57.35,0,5
1400959,1400959/2,M,No,BSCSPSCO,FT,X06,20,2,L6,370,56.13,65,0,0
1400966,1400966/1,M,Yes,BAAAH,FT,X06,20,2,L6,180,60.38,60.95,1,138
1400976,1400976/1,F,Yes,BAPESC,FT,X06,21,2,L6,540,68,75.65,2,55
1400980,1400980/1,F,No,BAAAH,FT,X06,21,7,L6,270,61.25,58.58,1,8
1400983,1400983/1,M,Yes,BAAAH,FT,X06,23,4,L6,280,60.5,65.55,0,0
1400987,1400987/1,F,No,BAAAH,FT,X05,21,2,L6,380,60.13,66.45,0,0
1400994,1400994/1,F,No,BAAAH,FT,X06,20,6,L6,340,74.13,68.83,1,1
1400995,1400995/1,M,No,BSCSPEX,FT,X06,21,2,L6,200,51.88,56.53,0,1
1400998,1400998/1,F,No,BAPESC,FT,X06,21,6,L6,200,50.38,62.38,0,0
1401000,1401000/1,M,Yes,BSCSEPS,FT,X06,21,9,L6,420,60.88,60.38,0,0
1401001,1401001/1,M,No,BAPESC,FT,X06,22,3,L6,380,55.88,59.03,0,0
1401002,1401002/1,M,Yes,BAPESC,FT,X06,21,9,L6,350,55.63,61.83,0,23
1401004,1401004/1,F,No,BAAAH,FT,X06,21,2,L6,290,64.13,64.63,0,5
1401012,1401012/1,M,No,BASPST,FT,X06,21,1,L6,360,65.63,64.35,0,0
1401024,1401024/1,M,No,BSCSPTH,FT,X04,23,4,L6,,77.63,75.5,0,2
1401029,1401029/1,F,No,BAAAH,FT,X06,20,6,L6,460,53.75,52.63,0,4
1401031,1401031/1,M,No,BAAAH,FT,X06,23,9,L6,300,62.5,71.43,0,0
1401038,1401038/1,M,No,BACOMMU,FT,HUK,22,1,L6,280,59.38,62.25,0,0
1401042,1401042/1,M,No,BAAAH,FT,MUK,21,9,L6,,62.75,63.53,0,3
1401054,1401054/1,M,Yes,BAAAH,FT,X06,21,2,L6,200,62.25,56.9,0,2
1401055,1401055/1,M,No,BSCSPEX,FT,X06,22,9,L6,260,53.38,64.9,0,1
1401056,1401056/1,F,No,BAAAH,FT,HUK,21,5,L6,350,66.63,60.2,0,0
1401057,1401057/1,M,No,BASPBUSMAN,FT,X06,22,3,L6,240,58.13,60.48,0,0
1401064,1401064/1,F,No,BAAAH,FT,X06,20,1,L6,300,62.38,65.95,0,0
1401079,1401079/1,F,No,BSCPSYCH,FT,X06,22,9,L6,300,72.75,69.7,0,0
1401110,1401110/1,M,No,BASPBUSMAN,FT,X06,21,2,L6,230,47.75,57.73,0,0
1401113,1401113/1,F,No,BAAAH,FT,X06,21,9,L6,250,65.13,67.38,0,10
1401133,1401133/1,F,No,BAPESC,FT,X06,21,7,L6,380,55.75,59.18,1,3
1401140,1401140/1,M,No,BACOMMU,FT,X06,21,3,L6,380,59.63,66.63,0,0
1401153,1401153/1,F,No,BAAAH,FT,M71,21,5,L6,220,59.13,63.88,1,1
1401155,1401155/1,F,Yes,BSCSPTH,FT,X06,21,1,L6,420,61.13,65.73,0,24
1401171,1401171/1,M,No,BABM,FT,X06,21,2,L6,300,70.13,70.53,0,1
1401172,1401172/1,F,No,BSCSEPS,FT,X06,21,2,L6,200,51.5,54.85,0,1
1401181,1401181/1,F,No,BAPESC,FT,X06,22,7,L6,440,64.5,65.63,0,1
1401183,1401183/1,F,No,BAAAH,FT,X06,21,1,L6,280,63.75,65.4,0,0
1401205,1401205/1,F,No,BAAAH,FT,X06,20,3,L6,330,63,65.23,0,18
1401219,1401219/1,M,No,BAAAH,FT,X06,21,4,L6,380,64.88,68.33,0,0
1401220,1401220/1,F,No,BAAAH,FT,X06,21,1,L6,320,65.88,62.2,0,0
1401240,1401240/1,F,No,BAAAH,FT,X06,22,5,L6,320,59.75,61.8,0,1
1401244,1401244/1,F,Yes,BAAAH,FT,X06,21,2,L6,260,63,58.7,0,36
1401255,1401255/1,F,No,BAAAH,FT,X06,21,1,L6,390,62.63,59.8,0,0
1401274,1401274/1,F,No,BAAAH,FT,P41,21,9,L6,340,55.63,59.7,0,3
1401275,1401275/1,F,No,BSCSPEX,FT,P41,22,1,L6,450,54,61.83,1,4
1401278,1401278/1,F,Yes,BAAAH,FT,P42,21,9,L6,380,58.88,65.15,0,32
1401280,1401280/1,F,No,BAAAH,FT,P42,21,2,L6,360,56.25,57.73,0,3
1401282,1401282/1,F,Yes,BACOMMU,FT,HUK,22,1,L6,400,60.5,69.15,1,2
1401294,1401294/1,M,Yes,BASPDEVCO,FT,P50,21,9,L6,190,62,67.73,0,16
1401296,1401296/1,F,Yes,BAAAH,FT,MUK,39,4,L6,,63.25,70.95,1,17
1401305,1401305/1,F,No,BAPESC,FT,P41,21,7,L6,420,45.5,52.3,1,0
1401318,1401318/1,M,No,BAAAH,FT,P50,22,1,L6,300,71.88,67.55,0,0
1401321,1401321/1,F,No,BAAAH,FT,X04,25,6,L6,,65.63,66.53,0,44
1401326,1401326/1,M,Yes,BASPDEVCO,FT,P50,21,9,L6,120,53,49.78,0,6
1401329,1401329/1,F,No,BABM,FT,P50,21,1,L6,220,73.13,56.28,1,29
1401333,1401333/1,F,Yes,BAAAH,FT,P50,21,2,L6,270,59.13,61.8,0,0
1401347,1401347/1,M,No,BAPESC,FT,Q80,21,4,L6,400,53.5,53.38,0,11
1401349,1401349/1,F,No,BAAAH,FT,H80,20,9,L6,300,56.63,57.9,0,0
1401350,1401350/1,F,No,BAAAH,FT,P50,21,1,L6,240,59.75,60.8,0,2
1401357,1401357/1,M,No,BAAAH,FT,P50,21,2,L6,330,65.04,61.88,0,0
1401369,1401369/1,M,No,BABM,FT,P50,20,9,L6,120,51.63,57.78,0,8
1401373,1401373/1,F,No,BSCSEPS,FT,P50,21,6,L6,270,63.25,62.38,0,1
1401395,1401395/1,F,No,BAPESC,FT,P50,20,9,L6,590,61,61.35,0,2
1401397,1401397/1,F,No,BAAAH,FT,P41,21,7,L6,420,63.75,65.48,0,1
1401404,1401404/1,F,No,BAAAH,FT,P50,21,9,L6,340,61,65,0,0
1401420,1401420/1,F,No,BAAAH,FT,P50,21,1,L6,260,58.63,63.3,0,2
1401421,1401421/1,F,No,BABM,FT,P50,20,9,L6,460,71.88,70.98,0,2
1401433,1401433/1,F,Yes,BAAAH,FT,P42,20,2,L6,420,64.92,65.45,0,75
1401447,1401447/1,F,No,BABM,FT,P42,21,6,L6,280,60,64.43,0,0
1401454,1401454/1,F,No,BAAAH,FT,P50,21,1,L6,335,66.38,61.05,2,86
1401461,1401461/1,M,No,BAAAH,FT,HUK,21,9,L6,355,57.75,66.1,0,5
1401462,1401462/1,F,No,BAPESC,FT,Q80,21,6,L6,360,52.63,59.93,0,1
1401464,1401464/1,F,Yes,BAAAH,FT,P41,20,7,L6,360,58.63,66.65,0,8
1401472,1401472/1,M,Yes,BAAAH,FT,P50,21,2,L6,295,61.5,61.45,0,1
1401474,1401474/1,F,No,BAPESEC,FT,P41,21,9,L6,400,58.75,60.55,0,0
1401478,1401478/1,M,No,BAAAH,FT,P50,21,4,L6,320,63.38,64.75,0,0
1401479,1401479/1,F,No,BAAAH,FT,P50,21,1,L6,200,65.5,61.08,0,0
1401485,1401485/1,F,No,BSCSPTH,FT,Q80,23,5,L6,420,51.38,51.55,1,5
1401511,1401511/2,M,No,BASPBUSMAN,FT,P50,21,1,L6,320,58.5,68.13,0,0
1401521,1401521/1,M,No,BABM,FT,P41,21,2,L6,480,70.63,67.38,0,0
1401522,1401522/1,M,No,BAAAH,FT,P50,21,9,L6,150,63.5,68.73,0,5
1401541,1401541/1,F,No,BAAAH,FT,P50,21,2,L6,280,60.5,67.4,0,3
1401546,1401546/1,M,No,BAPESC,FT,P50,21,9,L6,280,58.25,58.48,0,24
1401547,1401547/1,M,Yes,BAPESC,FT,P41,22,6,L6,950,51.88,54.93,0,8
1401553,1401553/1,F,No,BAAAH,FT,P50,20,9,L6,520,64.88,61.08,0,0
1401558,1401558/1,F,Yes,BAAAH,FT,P42,20,1,L6,290,57.63,53.5,0,25
1401559,1401559/1,F,Yes,BAAAH,FT,P50,21,7,L6,340,63.38,68.5,3,48
1401586,1401586/1,F,No,BSCSPTH,FT,Q80,21,2,L6,420,61.38,58.7,0,0
1401593,1401593/1,F,No,BAPEPRI,FT,P41,22,6,L6,380,52.75,59,0,0
1401602,1401602/1,M,Yes,BAAAH,FT,P50,21,1,L6,320,59.38,74.75,0,21
1401621,1401621/1,F,No,BABM,FT,P50,20,3,L6,280,66,68.98,0,0
1401623,1401623/1,F,No,BAAAH,FT,Q80,22,4,L6,280,62.75,61.48,0,10
1401632,1401632/1,F,No,BAAAH,FT,P50,21,1,L6,310,67.04,68.8,0,2
1401638,1401638/1,M,No,BAPESC,FT,P50,20,2,L6,260,58.38,58.8,0,0
1401697,1401697/1,F,No,BAAAH,FT,P50,20,7,L6,280,64,65.3,0,0
1401699,1401699/1,F,No,BAAAH,FT,P41,21,1,L6,260,72.25,68.43,0,0
1401708,1401708/1,F,No,BAAAH,FT,P50,21,2,L6,300,60.5,68.2,0,1
1401731,1401731/1,F,No,BSCMAML,FT,P50,21,3,L6,440,69.44,77.2,0,0
1401732,1401732/1,F,No,BSCSPEX,FT,P50,22,1,L6,340,63.13,66.53,0,0
1401733,1401733/1,F,No,BAPESC,FT,P50,21,3,L6,246,62.25,67.58,0,0
1401743,1401743/1,M,No,BSCSEPS,FT,Q80,21,3,L6,280,49.5,50.85,0,0
1401744,1401744/1,M,No,BSCSPEX,FT,P50,20,2,L6,240,60.5,58.1,0,0
1401753,1401753/1,F,Yes,BABM,FT,P50,20,1,L6,210,56.38,56.28,1,5
1401755,1401755/1,F,No,BAPESC,FT,P50,20,4,L6,230,57.75,60.4,0,2
1401757,1401757/1,F,No,BAAAH,FT,P41,21,5,L6,260,57.75,65.95,0,0
1401769,1401769/1,F,No,BAAAH,FT,C30,22,1,L6,420,63.25,57.9,0,10
1401796,1401796/1,M,No,BAAAH,FT,P50,22,2,L6,400,67.63,65.83,0,0
1401807,1401807/1,F,No,BAAAH,FT,P46,21,4,L6,300,65.88,61.93,0,0
1401810,1401810/1,F,No,BSCPSYCH,FT,P50,21,6,L6,320,70,69.2,0,1
1401830,1401830/1,M,Yes,BASPDEVCO,FT,Q80,20,3,L6,340,49.63,48.25,0,53
1401851,1401851/1,F,No,BAAAH,FT,P50,21,2,L6,360,69.17,70.98,0,0
1401855,1401855/1,M,No,BAPESC,FT,P41,22,3,L6,420,49.88,61.73,1,0
1401867,1401867/1,F,No,BSCSEPS,FT,P50,21,2,L6,420,57,56.88,0,0
1401870,1401870/1,F,No,BAPESC,FT,P50,21,5,L6,280,65.5,70.28,0,6
1401880,1401880/1,F,No,BSCPSYCH,FT,P50,21,9,L6,200,61.13,60.4,1,0
1401882,1401882/1,F,No,BAAAH,FT,P50,21,6,L6,240,52.75,57.53,0,1
1401893,1401893/1,F,No,BAAAH,FT,P50,21,4,L6,320,63.5,62.08,0,1
1401917,1401917/1,F,Yes,BAAAH,FT,P50,21,2,L6,280,60.5,58.38,0,10
1401929,1401929/1,M,No,BSCSPEX,FT,P50,21,4,L6,180,46.38,54.38,0,0
1401931,1401931/1,F,No,BSCSEPS,FT,P50,21,9,L6,250,62.25,59.75,0,0
1401939,1401939/1,F,No,BAAAH,FT,P42,20,2,L6,400,61.38,66.7,0,1
1401943,1401943/1,F,No,BAPESC,FT,X06,20,5,L6,430,60.38,59.18,0,7
1401947,1401947/1,F,No,BAAAH,FT,P50,21,3,L6,340,53.25,58.65,0,0
1401951,1401951/1,F,No,BAAAH,FT,P41,20,9,L6,400,62,57.45,0,1
1401987,1401987/1,F,No,BAAAH,FT,HUK,20,3,L6,300,65.63,69.78,0,0
1401994,1401994/1,F,Yes,BSCSPSCO,FT,HUK,21,3,L6,340,74.88,78.85,0,36
1401999,1401999/1,M,No,BAAAH,FT,P41,21,4,L6,400,74.75,76.1,0,4
1402000,1402000/1,F,Yes,BAAAH,FT,P50,21,1,L6,500,62.75,63.28,0,34
1402007,1402007/1,F,No,BAPESC,FT,P41,21,3,L6,380,57.75,58.35,0,11
1402008,1402008/1,F,No,BAAAH,FT,P50,20,3,L6,430,65.25,67.68,0,0
1402030,1402030/1,M,No,BASPBUSMAN,FT,P50,21,9,L6,160,54.88,59.83,0,2
1402031,1402031/1,M,No,BASPDEVCO,FT,P50,21,9,L6,230,56.63,59.2,0,0
1402038,1402038/1,F,No,BAAAH,FT,Q80,21,4,L6,360,63,62.73,0,13
1402039,1402039/1,F,No,BAAAH,FT,Q80,23,5,L6,420,69.13,67.35,0,3
1402044,1402044/1,M,No,BSCSPEX,FT,P50,22,3,L6,200,53.88,60.38,0,0
1402053,1402053/1,M,No,BABM,FT,P50,21,1,L6,410,66.75,66.75,0,0
1402108,1402108/1,M,No,BABM,FT,P50,22,9,L6,500,63.13,53.5,1,12
1402129,1402129/1,F,No,BACOMMU,FT,HUK,21,2,L6,380,54.25,67.13,1,0
1402144,1402144/1,F,No,BAAAH,FT,P50,21,3,L6,330,64.38,62.45,0,3
1402153,1402153/1,F,No,BAAAH,FT,P50,21,2,L6,300,64.88,61.9,0,0
1402156,1402156/1,M,No,BASPDEVCO,FT,P50,21,7,L6,170,54.63,60.75,0,1
1402166,1402166/1,M,No,BAPESC,FT,HUK,22,5,L6,360,51.38,53.03,1,4
1402190,1402190/1,F,No,BAAAH,FT,HUK,21,7,L6,570,63.75,65.08,0,1
1402191,1402191/1,M,No,BAAAH,FT,P50,21,2,L6,250,63.13,60.15,0,0
1402208,1402208/1,F,No,BABM,FT,P50,21,1,L6,430,66,74.83,0,3
1402210,1402210/1,F,No,BAAAH,FT,P50,21,3,L6,400,64.25,59.03,0,0
1402212,1402212/1,F,No,BAAAH,FT,P50,21,9,L6,430,66,66.45,0,0
1402232,1402232/1,M,No,BAAAH,FT,HUK,21,2,L6,240,60.5,56.95,0,0
1402234,1402234/1,F,No,BAAAH,FT,HUK,20,1,L6,200,69.63,83.45,0,0
1402240,1402240/1,F,No,BASPDEVCO,FT,P50,20,9,L6,390,55.75,59.03,0,2
1402246,1402246/1,M,No,BAPESC,FT,P50,21,2,L6,320,67.63,78.03,1,0
1402250,1402250/1,M,No,BSCPSYCH,FT,P50,21,6,L6,200,51.63,55.38,0,0
1402254,1402254/1,F,Yes,BAAAH,FT,Q80,21,2,L6,320,62.75,63.58,0,49
1402258,1402258/1,M,No,BSCFCPERF,FT,P41,22,7,L6,420,47.88,49.33,0,0
1402270,1402270/1,F,No,BAAAH,FT,P41,21,1,L6,420,61.38,67.73,0,0
1402273,1402273/1,F,No,BSCSEPS,FT,P50,20,2,L6,390,72.75,64.85,0,5
1402277,1402277/1,F,No,BAAAH,FT,P50,21,2,L6,240,55.38,54.65,0,7
1402300,1402300/1,F,No,BAAAH,FT,P50,21,1,L6,310,67.88,65.25,0,3
1402308,1402308/1,M,No,BSCSEPS,FT,HUK,21,9,L6,200,62.63,60.4,0,0
1402312,1402312/1,F,No,BAAAH,FT,Q80,21,9,L6,400,54.25,63.85,1,1
1402314,1402314/1,M,Yes,BSCSPTH,FT,P41,22,2,L6,320,57.13,59.75,0,5
1402340,1402340/1,F,No,BAPESC,FT,P41,21,2,L6,360,52.13,53.03,0,0
1402350,1402350/1,F,No,BAAAH,FT,P50,20,9,L6,180,64.25,64.93,0,8
1402370,1402370/1,F,Yes,BAAAH,FT,P50,21,9,L6,220,61.75,60.55,0,50
1402384,1402384/1,F,No,BAAAH,FT,Q80,21,2,L6,320,56.13,54.43,0,0
1402402,1402402/1,M,No,BSCSPEX,FT,P42,22,5,L6,260,50.5,60.63,0,0
1402407,1402407/1,F,No,BAAAH,FT,P50,20,3,L6,460,67.58,69.2,1,0
1402422,1402422/1,M,No,BAPESC,FT,P50,20,5,L6,360,56.13,64.4,0,1
1402430,1402430/1,F,No,BABM,FT,P41,24,9,L6,120,55.25,57.1,0,0
1402457,1402457/1,M,No,BAAAH,FT,P50,21,1,L6,280,73.13,75.9,0,0
1402467,1402467/1,M,No,BSCSPTH,FT,P50,22,2,L6,420,69.38,64.35,0,2
1402470,1402470/1,F,No,BAAAH,FT,Q80,20,2,L6,240,67.63,71.25,1,0
1402474,1402474/1,F,No,BAAAH,FT,P50,22,9,L6,240,68.38,68.85,0,2
1402475,1402475/1,F,No,BABM,FT,Q80,23,4,L6,,66,56.75,0,0
1402476,1402476/1,M,No,BASPDEVCO,FT,P50,22,1,L6,220,62.38,65.63,0,0
1402479,1402479/1,M,No,BAAAH,FT,P41,21,1,L6,410,64.13,69.75,0,0
1402500,1402500/1,F,No,BAAAH,FT,P50,21,1,L6,280,61.25,61.85,0,11
1402501,1402501/1,F,No,BSCPSYCH,FT,P50,20,2,L6,280,68.5,64.33,0,1
1402503,1402503/1,F,No,BAAAH,FT,P50,21,3,L6,380,62.5,69.48,0,4
1402520,1402520/2,M,No,BAPEPRI,FT,HUK,24,6,L6,,45.63,48.78,0,1
1402522,1402522/1,F,No,BAAAH,FT,P69,20,2,L6,580,70.13,63.5,0,0
1402532,1402532/1,M,No,BABM,FT,P42,20,5,L6,330,66.25,67.7,0,0
1402537,1402537/2,F,No,BSCCSPC,FT,HUK,20,5,L6,380,51.38,52.93,0,9
1402546,1402546/1,M,No,BAAAH,FT,P41,21,6,L6,360,62.63,70.23,0,0
1402552,1402552/1,M,No,BSCSPTH,FT,P41,20,1,L6,420,57,55.68,0,0
1402614,1402614/1,M,No,BAPESC,FT,P50,22,2,L6,280,61.63,67.08,0,1
1402626,1402626/1,F,No,BASPBUSMAN,FT,Q80,21,2,L6,240,49.88,55.78,0,8
1402648,1402648/1,F,No,BAAAH,FT,C30,24,1,L6,,60.13,65.48,0,0
1402649,1402649/1,M,No,BAAAH,FT,P50,23,2,L6,490,74.75,65.68,0,3
1402654,1402654/1,F,No,BASPDEVCO,FT,Q80,21,3,L6,140,58,60.6,0,0
1402657,1402657/1,M,No,BSCSEPS,FT,P50,21,1,L6,320,65.38,63.43,0,0
1402664,1402664/1,F,No,BAAAH,FT,P50,21,1,L6,250,65.75,66.15,0,0
1402686,1402686/1,F,No,BAAAH,FT,P50,21,6,L6,460,65.63,62.1,0,0
1402705,1402705/1,M,No,BAAAH,FT,P50,21,9,L6,160,66,68.2,0,0
1402708,1402708/1,M,No,BSCFCPERF,FT,Q80,21,9,L6,380,54.38,54.45,0,0
1402726,1402726/1,M,No,BAAAH,FT,P42,22,2,L6,210,65,66.93,0,0
1402734,1402734/1,M,No,BSCSPEX,FT,P50,20,2,L6,220,60.13,65.58,0,0
1402740,1402740/1,F,No,BAAAH,FT,Q80,21,9,L6,420,69,65.18,1,18
1402745,1402745/1,M,No,BAAAH,FT,P92,56,6,L6,,61.88,69.25,0,0
1402755,1402755/1,F,No,BAAAH,FT,P50,21,6,L6,260,61,63.58,0,0
1402764,1402764/1,F,No,BAAAH,FT,P41,21,4,L6,400,72.5,71.85,0,3
1402765,1402765/1,F,No,BAAAH,FT,Q80,21,2,L6,360,57.38,60.9,0,4
1402771,1402771/1,F,No,BSCSEPS,FT,P42,21,9,L6,520,60.25,63.55,0,2
1402776,1402776/1,F,Yes,BAAAH,FT,P41,21,3,L6,480,61,67,0,28
1402784,1402784/1,F,No,BAAAH,FT,P50,20,6,L6,400,65.38,66.15,0,0
1402798,1402798/1,F,No,BABM,FT,Q80,20,2,L6,420,72.13,63.58,0,0
1402802,1402802/1,F,No,BABM,FT,P50,21,3,L6,250,68.38,66.48,0,0
1402806,1402806/1,F,No,BAAAH,FT,P50,21,1,L6,170,56.75,60.58,0,3
1402815,1402815/1,M,No,BSCSEPS,FT,HUK,21,2,L6,320,70.75,70.7,0,1
1402828,1402828/1,F,No,BAAAH,FT,P50,21,1,L6,260,61.75,62,0,0
1402831,1402831/1,F,Yes,BAAAH,FT,HUK,21,2,L6,390,58,65.98,1,12
1402850,1402850/1,M,No,BSCSPEX,FT,P41,21,9,L6,480,48.25,56.35,0,0
1402858,1402858/1,M,No,BASPDEVCO,FT,P50,20,1,L6,280,55.38,63.35,0,0
1402872,1402872/1,F,Yes,BAAAH,FT,HUK,22,9,L6,430,60.25,63.28,0,12
1402892,1402892/1,M,No,BSCSPEX,FT,P42,20,1,L6,380,66.63,72.13,0,0
1402911,1402911/1,F,No,BAAAH,FT,P50,21,2,L6,440,65.13,57.73,0,14
1402951,1402951/1,M,No,BASPDEVCO,FT,P42,21,2,L6,560,57.13,63.5,0,0
1402952,1402952/1,M,No,BAAAH,FT,P50,21,6,L6,320,63.5,61.05,0,1
1402957,1402957/1,M,No,BACOMMU,FT,P42,21,1,L6,310,66.5,74.05,0,0
1402979,1402979/1,F,Yes,BAEDSENDS,FT,HUK,21,1,L6,420,63,63.25,0,42
