stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1405462,1405462/1,F,No,BAAAH,FT,P50,21,2,L6,420,58.5,60.5,0,0
1405463,1405463/1,M,No,BAPESC,FT,J30,25,2,L6,160,62.13,67.13,0,0
1405480,1405480/1,F,Yes,BAAAH,FT,Q80,22,4,L6,280,54,54.95,0,36
1405482,1405482/1,M,No,BSCSPEX,FT,HUK,21,1,L6,240,56.13,60.93,0,0
1405484,1405484/1,M,Yes,BAAAH,FT,P41,21,6,L6,120,48.13,61.6,0,3
1405487,1405487/1,F,No,BAAAH,FT,J80,20,1,L6,325,67.5,59.18,0,0
1405491,1405491/1,F,No,BAAAH,FT,P50,21,3,L6,360,68,70.13,0,0
1405530,1405530/1,F,No,BAPESC,FT,Q80,20,9,L6,360,50.63,57.7,1,39
1405541,1405541/1,M,No,BACOMMU,FT,X04,20,9,L6,,58.75,66.58,0,0
1405543,1405543/1,F,No,BAPESC,FT,Q80,20,4,L6,420,58.38,57.28,0,0
1405565,1405565/1,F,No,BAAAH,FT,P41,20,3,L6,280,62.67,68.3,0,0
1405570,1405570/1,F,No,BAAAH,FT,Q80,21,7,L6,470,59.13,57.38,0,5
1405572,1405572/1,F,No,BAAAH,FT,P50,21,2,L6,450,59.63,59.55,0,8
1405591,1405591/1,F,No,BAAAH,FT,P50,21,9,L6,240,66.54,62.1,0,3
1405604,1405604/1,M,Yes,BAAAH,FT,P41,24,6,L6,260,56,57.93,0,23
1405607,1405607/1,F,No,BAAAH,FT,P50,21,3,L6,300,65.25,64.63,0,0
1405619,1405619/1,M,Yes,BAPESC,FT,P50,22,6,L6,240,64.5,64.85,4,87
1405644,1405644/1,F,No,BACOMMU,FT,Q80,22,6,L6,320,49.75,57.38,0,0
1405688,1405688/1,F,Yes,BAAAH,FT,P50,21,3,L6,300,62.63,64.75,0,15
1405698,1405698/1,F,No,BAAAH,FT,HUK,21,7,L6,220,62.88,62.68,2,23
1405701,1405701/1,M,No,BAAAH,FT,Q80,22,9,L6,380,61.75,60.38,0,15
1405702,1405702/1,M,No,BAAAH,FT,P41,20,3,L6,270,58.13,53.05,1,8
1405704,1405704/1,M,No,BAPESC,FT,P50,21,1,L6,260,68.25,63.9,0,0
1405708,1405708/1,M,No,BAAAH,FT,P50,21,3,L6,230,66.5,65.1,0,2
1405722,1405722/1,M,No,BAAAH,FT,MUK,43,6,L6,,64.63,70.05,0,12
1405724,1405724/1,M,No,BSCSEPS,FT,P50,21,2,L6,190,51.63,58,1,0
1405731,1405731/1,M,No,BACOMMU,FT,Q80,22,3,L6,280,50.63,48.35,0,0
1405732,1405732/1,M,Yes,BACOMMU,FT,HUK,23,7,L6,280,60.75,60.83,0,7
1405733,1405733/1,M,No,BACOMMU,FT,Q80,22,9,L6,360,54.88,66.55,0,0
1405735,1405735/1,F,No,BAAAH,FT,P41,22,5,L6,250,63.13,61.9,0,0
1405739,1405739/1,M,No,BSCSPEX,FT,P50,20,9,L6,380,65.25,69.3,0,0
1405746,1405746/1,F,No,BAAAH,FT,P50,21,9,L6,260,60.38,58.33,0,0
1405754,1405754/1,F,No,BAAAH,FT,P50,22,6,L6,360,60.75,58.68,0,5
1405795,1405795/1,F,No,BAAAH,FT,P50,21,2,L6,380,70.29,68.3,0,0
1405797,1405797/1,M,No,BAAAH,FT,P42,20,1,L6,380,60.13,57.83,0,1
1405803,1405803/1,F,No,BAAAH,FT,Q80,21,7,L6,260,67.38,63.88,0,18
1405810,1405810/1,M,No,BAAAH,FT,P50,24,9,L6,270,61.5,60.78,0,3
1405823,1405823/1,F,No,BAAAH,FT,Q80,21,6,L6,560,62.25,68.3,0,0
1405829,1405829/1,M,Yes,BAAAH,FT,Q80,21,9,L6,120,59.63,56.23,0,134
1405839,1405839/1,F,Yes,BAAAH,FT,P41,21,5,L6,460,65.5,65.9,0,10
1405869,1405869/1,M,No,BAAAH,FT,HUK,22,4,L6,340,63.6,62.5,1,25
1405869,1405869/1,M,No,BAAAH,FT,HUK,22,4,L6,340,62.63,62.5,1,25
1405879,1405879/1,F,No,BAAAH,FT,D80,22,4,L6,180,67.5,74.13,0,0
1405882,1405882/1,M,No,BAAAH,FT,X06,21,9,L6,,64,66.43,0,8
1405903,1405903/1,M,Yes,BSCSPTH,FT,P41,22,9,L6,400,63.5,56.5,0,4
1405907,1405907/1,M,No,BAAAH,FT,Q80,21,2,L6,032,64.75,67,0,0
1405916,1405916/1,M,No,BAAAH,FT,P50,21,9,L6,240,59,60.9,0,0
