First,Final
54.35,64
50.8,57.63
56.5,62.63
58.53,63.25
69.93,64.75
62.08,57.63
58.5,65.13
68.53,69
54.2,53.63
66.7,62.5
67.4,66.75
52.33,54.5
59.1,64.63
62.45,60.88
69.53,55
67.03,63.75
65.78,61.5
68.5,64.5
59.48,56.13
52,53.13
61.1,58
60.8,62
63.18,61.63
60.23,55
49.7,48.88
73.43,60.88
61.8,59.5
57,56.5
53.9,60.13
66.13,69.25
60.98,57.63
55.63,51.63
63.6,56.88
64.8,56.38
64.95,58.75
67.8,55
62.68,55.5
63.05,67.38
54.1,55.63
60.3,58.25
66.85,58.63
62.25,52
53.65,64.5
59.38,57
58.23,60
49.6,43.38
56.25,57.38
63.5,63.25
61.23,59.75
58.38,53.88
67.7,65.5
62.9,71.88
69.73,72.5
64.9,62.38
60.35,58.63
54.55,54.5
60.3,58.88
57.23,56.75
55.4,58.88
52.7,48.13
72.48,71.13
57.8,49.75
68.03,67.88
57.08,55.38
64.43,68
58.98,63.13
64.03,60.63
57.58,55.5
62.2,68.33
61.15,51.75
65.18,70.63
61.98,59.63
64.43,54.88
62.15,61.88
60.95,59.88
63.68,69.5
59.88,66.88
65.13,58.13
57.73,58.88
67.78,62.21
69.28,65
60.8,61.13
64.43,64.25
63.63,65.88
62.58,61
64.63,59.13
65.55,67.13
69.53,64.25
48.8,53.5
57.78,49.5
66.8,65
60.7,58.88
66.05,65.5
62.6,68.25
57.35,56.13
61.45,76.88
60.5,58.5
67.13,62.13
54.95,54
61.6,48.13
59.18,67.5
70.13,68
66.58,58.75
57.28,58.38
68.3,62.67
57.38,59.13
59.55,59.63
62.1,66.54
57.93,56
64.63,65.25
64.85,64.5
57.38,49.75
64.75,62.63
60.38,61.75
53.05,58.13
70.05,64.63
48.35,50.63
60.83,60.75
66.55,54.88
61.9,63.13
58.33,60.38
58.68,60.75
68.3,70.29
60.78,61.5
68.3,62.25
56.23,59.63
74.13,67.5
66.43,64
67,64.75
60.9,59
63.43,65
57.63,59.5
62.5,63.75
63.85,63.75
65.88,64.38
62.43,55.63
67.93,69.5
56.53,55
67.6,58.88
51.98,51.38
64.98,57
54.4,48.88
65.23,62.5
63.05,57.63
64.03,64.63
59.53,58.75
54.28,49.25
62.85,57.38
65.95,62.75
61.55,56.75
64.18,57.88
68.18,66.38
64.9,63.38
67.5,62.63
61.15,59
69.38,65.5
59.08,55.88
52.33,58.38
64.78,61.75
65.4,61
63.38,69
63.43,56.5
57.43,55
59.85,60.13
53.45,56.88
58.75,58.75
66.75,55.88
57,59.25
69,65.38
61.5,64.63
64.25,61.63
62.3,58.25
64.7,57.25
50.08,48.63
63.83,68.25
51.43,54.75
68.63,54
75.03,68.13
64.8,66.5
60.73,58
49.4,51.5
58.8,58
65.23,62
62.9,68.75
68.4,64.38
52.08,67.13
54.63,61.25
52.55,51.25
56.85,63.5
67.4,66.75
59.5,58.38
65.13,65.63
59,56.5
52.3,56.75
53.55,59.38
67.53,65.75
58.23,54.5
60.28,56.63
54.75,53.75
70.68,70.5
55.53,59.88
58.75,56.13
66.4,59.25
75.98,65.38
